,Company,url,Category,Sub-Category,industry,sub_category,financials.arr_max,financials.arr_min,financials.revenue_2016,financials.revenue_2017,financials.num_customers_max,financials.num_customers_min
0,CleverTap,clevertap.com,Advertising & Promotion,Mobile Marketing,Business Intelligence,App Analytics,7200000.0,4800000.0,1500000,4800000.0,200.0,200.0
1,iZooto,izooto.com,Advertising & Promotion,Mobile Marketing,Marketing Automation,Retargeting,1176000.0,1176000.0,192000,1176000.0,400.0,400.0
2,Mobilewalla,mobilewalla.com,Advertising & Promotion,Mobile Marketing,Marketing Automation,Advertising Analytics,3000000.0,3000000.0,4000000,3000000.0,9.0,9.0
3,MobStac,mobstac.com,Advertising & Promotion,Mobile Marketing,Marketing Automation,Lead Generation,300000.0,300000.0,220000,300000.0,,100.0
4,Privy,privy.com,Advertising & Promotion,Mobile Marketing,Marketing Automation,Email Marketing,3100000.0,3100000.0,3096000,3096000.0,5000.0,5000.0
5,Teckst,teckst.com,Advertising & Promotion,Mobile Marketing,Sales Automation,Customer Engagement and Onboarding,1440000.0,1440000.0,1440000,,65.0,65.0
6,Texting Base,textingbase.com,Advertising & Promotion,Mobile Marketing,Marketing Automation,SMS Marketing,300000.0,300000.0,300000,300000.0,500.0,500.0
7,Funnel,funnel.io,Advertising & Promotion,Display & Programmatic Advertising,Technical Solutions,Connecting Data Sources,2160000.0,2160000.0,720000,2160000.0,340.0,340.0
8,Jelli,jelli.com,Advertising & Promotion,Display & Programmatic Advertising,Marketing Automation,Audio Advertising,30000000.0,,6000000,12000000.0,2300.0,2300.0
9,Sortable,sortable.com,Advertising & Promotion,Display & Programmatic Advertising,Marketing Automation,Advertising Analytics,,3000000.0,3000000,3000000.0,300.0,300.0
10,AdEspresso,adespresso.com,Advertising & Promotion,Search & Social Advertising,Marketing Automation,Paid Marketing,1800000.0,1800000.0,1800000,,1000.0,1000.0
11,Adthena,adthena.com,Advertising & Promotion,Search & Social Advertising,Business Intelligence,Internal Data,7500000.0,7500000.0,7500000,7500000.0,200.0,200.0
12,SocialFlow,socialflow.com,Advertising & Promotion,Search & Social Advertising,Marketing Automation,Social Media Marketing,10000000.0,10000000.0,9999996,9999996.0,200.0,200.0
13,Real Content Network,realcontentnetwork.com,Advertising & Promotion,Native/Content Advertising,Marketing Automation,Content Marketing,1080000.0,1080000.0,300000,1080000.0,150.0,150.0
14,pr.co,pr.co,Advertising & Promotion,PR,Public Relations,,344400.0,344400.0,180000,344400.0,287.0,287.0
15,Prezly,prezly.com,Advertising & Promotion,PR,Marketing Automation,Influencer Marketing,2000000.0,1600000.0,850000,1440000.0,1000.0,300.0
16,TrendKite,trendkite.com,Advertising & Promotion,PR,Public Relations,Online Reputation,,10000000.0,9996000,9996000.0,10000.0,1000.0
17,Alpha Software,alphasoftware.com,Content & Experience,Mobile Apps,Team Communication,Website Builders,10000000.0,5000000.0,4992000,4992000.0,3000.0,3000.0
18,Apptimize,apptimize.com,Content & Experience,Mobile Apps,Marketing Automation,A/B Testing,6000000.0,6000000.0,2600000,6000000.0,1000.0,100.0
19,Buildfire,buildfire.com,Content & Experience,Mobile Apps,Team Communication,Website Builders,4800000.0,4800000.0,2400000,2400000.0,5000.0,1000.0
20,SauceLabs,saucelabs.com,Content & Experience,Mobile Apps,Technical Solutions,Testing,30000000.0,30000000.0,28000000,30000000.0,3500.0,3500.0
21,Vidyard,vidyard.com,Content & Experience,Video Marketing,Marketing Automation,Content Marketing,0.0,9600000.0,9600000,,,
22,Conveyour,conveyour.com,Content & Experience,Interactive Content,Sales Automation,Customer Engagement and Onboarding,840000.0,840000.0,840000,840000.0,100.0,100.0
23,Formstack,formstack.com,Content & Experience,Interactive Content,Business Intelligence,Internal Data,13440000.0,11520000.0,11520000,11520000.0,16000.0,16000.0
24,Interact,tryinteract.com,Content & Experience,Interactive Content,Marketing Automation,Lead Generation,576000.0,,280000,576000.0,800.0,800.0
25,Jebbit,jebbit.com,Content & Experience,Interactive Content,Sales Automation,Contact Data,4800000.0,4800000.0,2000000,5000000.0,,50.0
26,Jotform,jotform.com,Content & Experience,Interactive Content,Team Communication,Website Builders,,54000000.0,34800000,54000000.0,,180000.0
27,Kickoff Labs,kickofflabs.com,Content & Experience,Interactive Content,Marketing Automation,Social Media Marketing,900000.0,900000.0,900000,,1000.0,1000.0
28,Riddle,riddle.com,Content & Experience,Interactive Content,Marketing Automation,Content Marketing,420000.0,420000.0,420000,420000.0,700.0,700.0
29,Turtl,turtl.co,Content & Experience,Interactive Content,Marketing Automation,Content Marketing,1500000.0,1500000.0,600000,1500000.0,50.0,50.0
30,Typeform,typeform.com,Content & Experience,Interactive Content,Misc,Surveys/Online forms,19000000.0,19000000.0,19200000,19200000.0,40000.0,40000.0
31,Wishpond,wishpond.com,Content & Experience,Interactive Content,Marketing Automation,Lead Generation,10000000.0,6000000.0,5000000,6000000.0,2500.0,2500.0
32,Zembula,zembula.com,Content & Experience,Interactive Content,Marketing Automation,Email Marketing,4800000.0,2520000.0,360000,2520000.0,110.0,110.0
33,AWeber,aweber.com,Content & Experience,Email Marketing,Marketing Automation,Email Marketing,27360000.0,27360000.0,27360000,,120000.0,120000.0
34,Delivra,delivra.com,Content & Experience,Email Marketing,Marketing Automation,Email Marketing,5000004.0,5000004.0,5000004,,500.0,500.0
35,ExpressPigeon,expresspigeon.com,Content & Experience,Email Marketing,Marketing Automation,Email Marketing,1000000.0,500000.0,400000,528000.0,800.0,200.0
36,Mad Mimi,madmimi.com,Content & Experience,Email Marketing,Marketing Automation,Email Marketing,0.0,0.0,0,,,
37,Moosend,moosend.com,Content & Experience,Email Marketing,Marketing Automation,Email Marketing,1680000.0,1680000.0,720000,1680000.0,700.0,700.0
38,MovableInk,movableink.com,Content & Experience,Email Marketing,Marketing Automation,Content Marketing,40000000.0,40000000.0,39999996,39999996.0,500.0,500.0
39,Notablist,notablist.com,Content & Experience,Email Marketing,Business Intelligence,Email Data,150000.0,150000.0,1,150000.0,20.0,20.0
40,Outbound,outbound.io,Content & Experience,Email Marketing,Marketing Automation,,1200000.0,360000.0,360000,360000.0,,100.0
41,Seventh Sense,theseventhsense.com,Content & Experience,Email Marketing,Marketing Automation,Email Marketing,360000.0,360000.0,120000,360000.0,136.0,136.0
42,Siftrock,siftrock.com,Content & Experience,Email Marketing,Marketing Automation,Email Marketing,1000000.0,1000000.0,100000,996000.0,140.0,140.0
43,Vero,getvero.com,Content & Experience,Email Marketing,Marketing Automation,Email Marketing,2400000.0,1800000.0,1000000,1800000.0,300.0,250.0
44,AutomatedInsights,automatedinsights.com,Content & Experience,Content Marketing,Technical Solutions,Content Creation,,7200000.0,7200000,7200000.0,,300.0
45,ClearVoice,clearvoice.com,Content & Experience,Content Marketing,Marketing Automation,Content Marketing,3000000.0,3000000.0,1500000,3060000.0,150.0,150.0
46,ContentLaunch,contentlaunch.com,Content & Experience,Content Marketing,Marketing Automation,Content Marketing,48000.0,36000.0,36000,36000.0,15.0,15.0
47,Contently,contently.com,Content & Experience,Content Marketing,Marketing Automation,Content Marketing,20000000.0,20000000.0,19200000,19200000.0,200.0,200.0
48,Contentools,contentools.com,Content & Experience,Content Marketing,Marketing Automation,Content Marketing,840000.0,840000.0,840000,840000.0,700.0,700.0
49,Fabl,fabl.co,Content & Experience,Content Marketing,Marketing Automation,Content Marketing,,3000000.0,600000,3000000.0,,50.0
50,Issuu,issuu.com,Content & Experience,Content Marketing,Marketing Automation,Content Marketing,42000000.0,,42000000,,100000.0,100000.0
51,MarketMuse,marketmuse.com,Content & Experience,Content Marketing,Marketing Automation,Content Marketing,4800000.0,4200000.0,420000,4200000.0,,100.0
52,Percolate,percolate.com,Content & Experience,Content Marketing,Marketing Automation,Content Marketing,40000000.0,40000000.0,39999996,39999996.0,200.0,200.0
53,Revue,getrevue.co,Content & Experience,Content Marketing,Marketing Automation,Email Marketing,84000.0,84000.0,60000,84000.0,1000.0,1000.0
54,ScoopIt,scoop.it,Content & Experience,Content Marketing,Marketing Automation,Content Marketing,3570000.0,2500000.0,2496000,2496000.0,250.0,250.0
55,Skyword,skyword.com,Content & Experience,Content Marketing,Marketing Automation,Content Marketing,20000000.0,20000000.0,19200000,19200000.0,150.0,150.0
56,Smartling,smartling.com,Content & Experience,Content Marketing,Misc,Translations,,10000000.0,9999996,9999996.0,500.0,
57,Upcontent,upcontent.com,Content & Experience,Content Marketing,Sales Automation,Customer Engagement and Onboarding,108000.0,108000.0,108000,108000.0,250.0,250.0
58,Videoblocks,videoblocks.com,Content & Experience,Content Marketing,Marketing Automation,Content Marketing,26000000.0,20000000.0,20000004,,150000.0,150000.0
59,Visme,visme.co,Content & Experience,Content Marketing,Team Communication,Dashboards,2400000.0,1200000.0,600000,1200000.0,10000.0,10000.0
60,Wochit,wochit.com,Content & Experience,Content Marketing,Marketing Automation,Video Marketing,30000000.0,10000000.0,5000000,9996000.0,,200.0
61,WriterAccess,writeraccess.com,Content & Experience,Content Marketing,Misc,Translations,1200000.0,,1200000,1200000.0,1000.0,
62,BloomReach,bloomreach.com,Content & Experience,"Optimization, Personalization & Testing",Marketing Automation,DXP,100000000.0,62500000.0,62400000,62400000.0,250.0,250.0
63,Bouncex,bouncex.com,Content & Experience,"Optimization, Personalization & Testing",Marketing Automation,A/B Testing,24000000.0,18000000.0,18000000,18000000.0,250.0,250.0
64,CaliberMind,calibermind.com,Content & Experience,"Optimization, Personalization & Testing",Sales Automation,Contact Data,432000.0,432000.0,432000,432000.0,12.0,12.0
65,Concentric,concentricmarket.com,Content & Experience,"Optimization, Personalization & Testing",Business Intelligence,Internal Data,1440000.0,1440000.0,600000,1440000.0,135.0,135.0
66,Demandbase,demandbase.com,Content & Experience,"Optimization, Personalization & Testing",Sales Automation,Customer Engagement and Onboarding,108000000.0,90000000.0,76800000,100000000.0,600.0,400.0
67,FunnelEnvy,funnelenvy.com,Content & Experience,"Optimization, Personalization & Testing",Marketing Automation,A/B Testing,672000.0,210000.0,60000,210000.0,7.0,7.0
68,Instapage,instapage.com,Content & Experience,"Optimization, Personalization & Testing",Marketing Automation,A/B Testing,20000000.0,10000000.0,5000000,19200000.0,16000.0,16000.0
69,OmniConvert,omniconvert.com,Content & Experience,"Optimization, Personalization & Testing",Marketing Automation,A/B Testing,1140000.0,1140000.0,1140000,1140000.0,250.0,250.0
70,Personyze,personyze.com,Content & Experience,"Optimization, Personalization & Testing",,,3000000.0,3000000.0,3000000,3000000.0,500.0,500.0
71,Sailthru,sailthru.com,Content & Experience,"Optimization, Personalization & Testing",Marketing Automation,Email Marketing,40000000.0,32000000.0,31200000,31200000.0,400.0,400.0
72,Sentient.AI,sentient.ai,Content & Experience,"Optimization, Personalization & Testing",Marketing Automation,A/B Testing,3000000.0,3000000.0,3000000,3000000.0,25.0,25.0
73,Unbounce,unbounce.com,Content & Experience,"Optimization, Personalization & Testing",Marketing Automation,A/B Testing,15000000.0,15000000.0,12000000,15600000.0,14000.0,14000.0
74,UserTesting,usertesting.com,Content & Experience,"Optimization, Personalization & Testing",Business Intelligence,Internal Data,70000000.0,60000000.0,69999996,60000000.0,3000.0,3000.0
75,Wingify,wingify.com,Content & Experience,"Optimization, Personalization & Testing",Technical Solutions,A/B Testing,30000000.0,18000000.0,18000000,18000000.0,5000.0,5000.0
76,Brandfolder,brandfolder.com,Content & Experience,DAM & MRM,Team Communication,File Management,12000000.0,6000000.0,6000000,6000000.0,4000.0,4000.0
77,Fotoware,fotoware.com,Content & Experience,DAM & MRM,Team Communication,File Management,5000000.0,5000000.0,4800000,4800000.0,4000.0,4000.0
78,Shotfarm,shotfarm.com,Content & Experience,DAM & MRM,Technical Solutions,Connecting Data Sources,,1440000.0,1440000,1440000.0,,100.0
79,Workfront,workfront.com,Content & Experience,DAM & MRM,Team Communication,Project Management,200000000.0,120000000.0,85000000,113760000.0,2844.0,2844.0
80,EasyRedir,easyredir.com,Content & Experience,SEO,Marketing Automation,SEO,,180000.0,65000,180000.0,1000.0,500.0
81,Moz,moz.com,Content & Experience,SEO,Marketing Automation,SEO,42600000.0,40999992.0,42600000,40999992.0,23000.0,23000.0
82,Rankwatch,rankwatch.com,Content & Experience,SEO,Marketing Automation,SEO,2250000.0,2250000.0,1680000,2250000.0,1500.0,1500.0
83,SEMRush,semrush.com,Content & Experience,SEO,Marketing Automation,SEO,100000000.0,50000000.0,30000000,48000000.0,50000.0,30000.0
84,SoloSEO,soloseo.com,Content & Experience,SEO,Marketing Automation,SEO,48000000.0,48000000.0,48000000,48000000.0,200000.0,200000.0
85,Booker,booker.com,Content & Experience,Marketing Automation & Campaign/Lead Management,Human Resources,Schedule Meetings,18000000.0,18000000.0,18000000,18000000.0,10000.0,10000.0
86,ConvertKit,convertkit.com,Content & Experience,Marketing Automation & Campaign/Lead Management,Marketing Automation,Email Marketing,12800000.0,12800000.0,5760000,12840000.0,,19000.0
87,Genoo,genoo.com,Content & Experience,Marketing Automation & Campaign/Lead Management,Marketing Automation,Email Marketing,1020000.0,1020000.0,1020000,1020000.0,500.0,500.0
88,Hatchbuck,hatchbuck.com,Content & Experience,Marketing Automation & Campaign/Lead Management,Sales Automation,CRM,2500000.0,2500000.0,2500000,,1200.0,1200.0
89,Infusionsoft,infusionsoft.com,Content & Experience,Marketing Automation & Campaign/Lead Management,Sales Automation,CRM,,100000000.0,100000000,99999996.0,175000.0,175000.0
90,Kahuna,kahuna.com,Content & Experience,Marketing Automation & Campaign/Lead Management,Marketplace,E-Commerce,36000000.0,3600000.0,3600000,3600000.0,100.0,100.0
91,Kit,kitcrm.com,Content & Experience,Marketing Automation & Campaign/Lead Management,Sales Automation,CRM,456000.0,456000.0,456000,,2000.0,2000.0
92,Metadata,metadata.io,Content & Experience,Marketing Automation & Campaign/Lead Management,Marketing Automation,Content Marketing,420000.0,420000.0,420000,,13.0,13.0
93,Ontraport,ontraport.com,Content & Experience,Marketing Automation & Campaign/Lead Management,Sales Automation,CRM,0.0,0.0,0,,6000.0,6000.0
94,Vendasta,vendasta.com,Content & Experience,Marketing Automation & Campaign/Lead Management,Sales Automation,CRM,27600000.0,27600000.0,18000000,27600000.0,1200.0,1200.0
95,Vuture,vutu.re,Content & Experience,Marketing Automation & Campaign/Lead Management,Marketing Automation,Email Marketing,12000000.0,9900000.0,8000000,9900000.0,300.0,300.0
96,CoreDNA,coredna.com,Content & Experience,CMS & Web Experience Management,Team Communication,Website Builders,2400000.0,2400000.0,1920000,2400000.0,,25.0
97,Coremedia,coremedia.com,Content & Experience,CMS & Web Experience Management,Sales Automation,CMS,10000000.0,10000000.0,8500000,9996000.0,120.0,120.0
98,Devhub,devhub.com,Content & Experience,CMS & Web Experience Management,Team Communication,Website Builders,6000000.0,1464000.0,900000,1464000.0,61.0,61.0
99,PageCloud,pagecloud.com,Content & Experience,CMS & Web Experience Management,Team Communication,Website Builders,2400000.0,1200000.0,1800000,1200000.0,8400.0,8400.0
100,Pantheon,pantheon.io,Content & Experience,CMS & Web Experience Management,Team Communication,Website Builders,,3600000.0,3600000,3600000.0,,10000.0
101,Stantive,stantive.com,Content & Experience,CMS & Web Experience Management,Sales Automation,Customer Engagement and Onboarding,,7500000.0,5000000,7500000.0,75.0,50.0
102,CallTrackingMetrics,calltrackingmetrics.com,Social & Relationships,Call Analytics & Management,Sales Automation,Calls,14400000.0,14400000.0,8000000,14400000.0,,30000.0
103,Convirza,convirza.com,Social & Relationships,Call Analytics & Management,Sales Automation,Calls,,10000000.0,7200000,9996000.0,1000.0,1000.0
104,ExecVision,execvision.io,Social & Relationships,Call Analytics & Management,Human Resources,Training,849996.0,849996.0,849996,,50.0,50.0
105,Gong,gong.io,Social & Relationships,Call Analytics & Management,Sales Automation,CRM,2000000.0,2000000.0,1992000,1992000.0,200.0,200.0
106,Ringostat,ringostat.com,Social & Relationships,Call Analytics & Management,Business Intelligence,Internal Data,1020000.0,1020000.0,300000,1020000.0,600.0,600.0
107,Talkdesk,talkdesk.com,Social & Relationships,Call Analytics & Management,Human Resources,Support,39000000.0,39000000.0,39000000,39000000.0,50000.0,50000.0
108,Artesian,artesian.co,Social & Relationships,ABM,Sales Automation,Contact Data,8400000.0,8400000.0,8400000,8400000.0,120.0,120.0
109,Engagio,engagio.com,Social & Relationships,ABM,Marketing Automation,Account-Based Marketing,6000000.0,6000000.0,6000000,6000000.0,200.0,200.0
110,Kwanzoo,kwanzoo.com,Social & Relationships,ABM,Marketing Automation,Account-Based Marketing,,1500000.0,1000000,1500000.0,50.0,50.0
111,LeanData,leandatainc.com,Social & Relationships,ABM,Marketing Automation,Lead Generation,7500000.0,4998000.0,4998000,4998000.0,250.0,250.0
112,Mariana IQ,marianaiq.com,Social & Relationships,ABM,Marketing Automation,Account-Based Marketing,1000000.0,1000000.0,550000,960000.0,20.0,20.0
113,Cvent,cvent.com,Social & Relationships,"Events, Meetings & Webinars",Misc,Event Management,500000000.0,500000000.0,234000000,370000000.0,25000.0,25000.0
114,Maestro Conference,maestroconference.com,Social & Relationships,"Events, Meetings & Webinars",Marketing Automation,Webinar Marketing,1080000.0,1080000.0,1080000,1080000.0,1000.0,1000.0
115,Mentimeter,mentimeter.com,Social & Relationships,"Events, Meetings & Webinars",Sales Automation,Document Management,1500000.0,1500000.0,800000,1500000.0,6000.0,6000.0
116,SpinGo,spingo.com,Social & Relationships,"Events, Meetings & Webinars",Team Communication,Project Management,5400000.0,5400000.0,3600000,5400000.0,30000.0,30000.0
117,Zoom,zoom.us,Social & Relationships,"Events, Meetings & Webinars",Team Communication,Calls,,153000000.0,76500000,153000000.0,850000.0,850000.0
118,Around.io,around.io,Social & Relationships,Social Media Marketing & Monitoring,Marketing Automation,Social Media Marketing,100000.0,,60000,99996.0,650.0,600.0
119,Brand24,brand24.com,Social & Relationships,Social Media Marketing & Monitoring,Marketing Automation,Lead Generation,2400000.0,2400000.0,2400000,1800000.0,2000.0,2000.0
120,Brandwatch,brandwatch.com,Social & Relationships,Social Media Marketing & Monitoring,Business Intelligence,Social Data,60000000.0,60000000.0,50000000,60000000.0,1500.0,1500.0
121,Crisp,crispthinking.com,Social & Relationships,Social Media Marketing & Monitoring,Public Relations,Online Reputation,17000000.0,10000000.0,6000000,9996000.0,100.0,100.0
122,Crystal Project,crystalknows.com,Social & Relationships,Social Media Marketing & Monitoring,Human Resources,Team Management,1200000.0,720000.0,480000,720000.0,2000.0,2000.0
123,Frrole,frrole.ai,Social & Relationships,Social Media Marketing & Monitoring,Sales Automation,Contact Data,492000.0,492000.0,492000,492000.0,18.0,18.0
124,Later,later.com,Social & Relationships,Social Media Marketing & Monitoring,Marketing Automation,Social Media Marketing,600000.0,600000.0,600000,,3500.0,3500.0
125,Mention,mention.com,Social & Relationships,Social Media Marketing & Monitoring,Business Intelligence,Industry Data,,2880000.0,2880000,2880000.0,4000.0,4000.0
126,MissingLettr,missinglettr.com,Social & Relationships,Social Media Marketing & Monitoring,Marketing Automation,Social Media Marketing,96000.0,96000.0,96000,96000.0,600.0,600.0
127,Nudge,nudge.ai,Social & Relationships,Social Media Marketing & Monitoring,Sales Automation,CRM,720000.0,720000.0,720000,720000.0,30.0,30.0
128,PromoRepublic,promorepublic.com,Social & Relationships,Social Media Marketing & Monitoring,Marketing Automation,Social Media Marketing,240000.0,240000.0,110000,240000.0,5500.0,2500.0
129,Quuu,quuu.co,Social & Relationships,Social Media Marketing & Monitoring,Marketing Automation,Social Media Marketing,549696.0,416436.0,251000,,5000.0,5000.0
130,Sniply,snip.ly,Social & Relationships,Social Media Marketing & Monitoring,Marketing Automation,Content Marketing,600000.0,600000.0,600000,,1000.0,1000.0
131,Socedo,socedo.com,Social & Relationships,Social Media Marketing & Monitoring,Sales Automation,Contact Data,2400000.0,2400000.0,1500000,2400000.0,200.0,200.0
132,Socialbakers,socialbakers.com,Social & Relationships,Social Media Marketing & Monitoring,Marketing Automation,Social Media Marketing,35000000.0,35000000.0,28000000,34800000.0,2700.0,2700.0
133,Trackur,trackur.com,Social & Relationships,Social Media Marketing & Monitoring,Public Relations,Online Reputation,,180000.0,180000,180000.0,,100.0
134,Tradable Bits,tradablebits.com,Social & Relationships,Social Media Marketing & Monitoring,Marketing Automation,Social Media Marketing,3600000.0,2400000.0,1500000,2400000.0,250.0,250.0
135,Ambassador,getambassador.com,Social & Relationships,"Advocacy, Loyalty & Referrals",Sales Automation,Affiliate Management,3840000.0,3840000.0,3840000,,300.0,300.0
136,Dynamic Signal,dynamicsignal.com,Social & Relationships,"Advocacy, Loyalty & Referrals",Human Resources,Communication,50000000.0,50000000.0,50000000,50000004.0,,1000.0
137,Influitive,influitive.com,Social & Relationships,"Advocacy, Loyalty & Referrals",Marketing Automation,Influencer Marketing,,10000000.0,8000000,10000000.0,270.0,270.0
138,Perkville,perkville.com,Social & Relationships,"Advocacy, Loyalty & Referrals",Marketing Automation,Loyalty Rewards,3000000.0,2400000.0,1800000,2400000.0,23000.0,23000.0
